"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.698243333E-1,3.675658431E-1,6.355639276E-2,1.513142467E-2,3.733269667E-1
6.797943334E-1,-2.319763673E-1,-2.433274574E-1,2.820521414E-1,4.388333363E-1
6.897643333E-1,-2.103879720E-1,4.117984763E-2,2.657389945E-1,3.414324118E-1
6.997333333E-1,-1.396299749E-1,3.486048942E-1,4.631445032E-1,5.962589479E-1
7.097033334E-1,-2.577135814E-1,1.446566252E-1,-8.759830713E-2,3.082455071E-1
7.196733333E-1,-1.885837962E-1,-1.594321189E-1,3.903069073E-1,4.618678714E-1
7.296433334E-1,1.413902243E-1,-2.801267629E-1,-3.326732415E-1,4.573113649E-1
7.396133333E-1,2.791459656E-1,-2.509057367E-2,-3.088709807E-1,4.170770789E-1
7.495833334E-1,5.685743696E-1,5.866272825E-1,3.975615478E-1,9.085502554E-1
7.595533333E-1,1.127850972E-1,8.895095084E-1,6.898813999E-1,1.131319579E0
7.695233334E-1,-1.716846121E-1,8.132967534E-1,-1.865261793E-1,8.518915604E-1
7.794933333E-1,-1.981550122E-1,4.382744678E-1,1.966038555E-1,5.196181232E-1
7.894633333E-1,-6.405272087E-2,-5.815857674E-2,-3.007907134E-1,3.129859811E-1
7.994333333E-1,3.848045312E-2,-3.608430800E-1,-8.291550601E-1,9.050892703E-1
8.094033333E-1,1.950355592E-1,1.553204116E-1,-5.422403741E-1,5.968148146E-1
8.193723334E-1,-3.102570998E-1,1.161684022E0,9.320987999E-1,1.521373526E0
8.293423333E-1,-3.777326162E-1,1.293791773E0,-7.661548197E-2,1.349981116E0
8.393123334E-1,-5.173326972E-1,5.132138820E-1,-5.501528263E-1,9.130661206E-1
8.492823333E-1,1.386916430E-1,-1.053652820E-1,-4.697237903E-1,5.009766997E-1
8.592523334E-1,3.713459218E-1,-1.415737995E-1,-1.525097099E0,1.576027314E0
8.692223333E-1,-2.213748537E-2,2.444211243E-1,-8.337217355E-1,8.690936005E-1
8.791923333E-1,4.609725550E-2,9.664884679E-2,1.664450866E-1,1.979139293E-1
8.891623333E-1,1.698122788E-1,-2.080412834E-2,4.027778488E-1,4.376060069E-1
8.991323333E-1,-3.582917936E-2,1.118402420E-1,-2.669838667E-1,2.916716560E-1
9.091023333E-1,3.071654941E-1,4.280341842E-2,1.213680825E0,1.252678697E0
9.190723333E-1,2.213473718E-1,-1.132479226E-1,1.024259689E0,1.054005532E0
9.290413334E-1,4.719916329E-2,-2.340753167E-1,1.419470072E-2,2.392080777E-1
9.390113333E-1,-2.904453810E-1,-2.537789899E-1,7.833696073E-1,8.731725126E-1
9.489813333E-1,8.477731794E-4,-2.597478277E-1,9.719925982E-1,1.006101021E0
9.589513333E-1,1.503769014E-1,-1.437452453E-1,4.101751614E-1,4.599125689E-1
9.689213333E-1,3.982268513E-1,-1.198495387E-1,-7.823340654E-2,4.231654557E-1
9.788913333E-1,3.117201462E-1,-1.242437030E-1,1.719876623E-1,3.770751958E-1
9.888613333E-1,1.976727265E-1,-2.011972271E-1,9.975466847E-2,2.991752411E-1
9.988313334E-1,1.467423270E-1,-3.174088155E-2,-6.561230850E-1,6.730811963E-1
1.008801333E0,4.082663013E-2,9.598415541E-2,-2.675919771E-2,1.076839193E-1
1.018771333E0,2.103912245E-2,1.622637427E-1,1.394204253E-1,2.149656295E-1
1.028741333E0,-1.647244703E-1,-1.393295788E-2,-7.820586616E-1,7.993397454E-1
1.038710333E0,-2.389036551E-1,3.128911334E-2,-6.892083853E-1,7.301110624E-1
1.048680333E0,-1.340190781E-1,2.560632230E-1,5.561088002E-1,6.267268026E-1
1.058650333E0,-3.650561085E-2,3.271828522E-1,-6.322091424E-1,7.127900660E-1
1.068620333E0,-2.168538596E-2,3.845387021E-1,-2.761704272E-1,4.739307695E-1
1.078590333E0,-3.316688726E-2,4.861056420E-1,3.527946800E-1,6.015503502E-1
1.088560333E0,-2.646760986E-1,-3.070357179E-2,-8.171746999E-1,8.595176767E-1
1.098530333E0,-8.694396716E-2,1.765427095E-2,-1.521012819E-1,1.760844305E-1
1.108500333E0,1.853333656E-1,2.310849958E-1,2.551847702E-1,3.909833739E-1
1.118470333E0,-5.653460853E-2,2.357696023E-1,-2.791191781E-1,3.697174365E-1
1.128440333E0,-1.939562545E-1,1.501919102E-1,-3.023384714E-1,3.893394275E-1
1.138410333E0,-1.317348633E-1,8.957874994E-2,-1.406939489E-1,2.125399113E-1
1.148379333E0,-1.883978365E-2,1.022033545E-1,7.933320934E-1,8.001101633E-1
1.158349333E0,2.543934958E-1,1.404100117E-1,3.031927496E-1,4.199486463E-1
1.168319333E0,2.217821854E-1,1.875455500E-1,-2.541609228E-2,2.915589971E-1
1.178289333E0,3.282572050E-2,-6.147159543E-2,-3.122886783E-1,3.199695354E-1
1.188259333E0,1.911480378E-1,-1.944873644E-1,2.930367208E-1,4.002916774E-1
1.198229333E0,-5.054998331E-2,-1.286553176E-1,-8.963138402E-2,1.647460972E-1
1.208199333E0,-1.286988976E-1,-6.083811357E-2,3.486858416E-1,3.766251431E-1
1.218169333E0,2.141522633E-1,1.408493386E-1,1.996414840E-1,3.248945217E-1
1.228139333E0,2.368681479E-1,-7.727722233E-2,-3.143691176E-1,4.011311889E-1
1.238109333E0,-2.076167207E-2,-1.884360261E-2,2.549152136E-2,3.789387876E-2
1.248078333E0,6.167215493E-2,1.084707839E-1,4.507811505E-1,4.677317728E-1
1.258048333E0,-1.299588081E-1,-3.499848645E-2,7.775042653E-3,1.348133419E-1
1.268018333E0,-1.011738608E-1,6.420827508E-2,-2.345078462E-1,2.633491649E-1
1.277988333E0,-2.428349209E-1,9.129522750E-3,-3.688885564E-1,4.417362494E-1
1.287958333E0,-1.504908673E-1,6.340582696E-2,6.018205780E-1,6.235830403E-1
1.297928333E0,-7.956591390E-2,9.755579562E-2,8.189610243E-3,1.261544198E-1
1.307898333E0,-7.078520497E-2,9.931490304E-2,-5.096263593E-1,5.240162415E-1
1.317868333E0,-3.188105164E-1,3.295378183E-1,3.775330800E-1,5.939415338E-1
1.327838333E0,-1.459059924E-1,2.723103512E-1,1.511516941E-1,3.439306916E-1
1.337808333E0,-1.304815675E-1,-1.634056308E-1,-3.217044497E-1,3.836933575E-1
1.347778333E0,5.697110318E-1,-8.502237109E-2,-6.180009931E-1,8.448222836E-1
1.357747333E0,2.996442206E-1,-1.486308132E-1,-4.342346996E-1,5.481218404E-1
1.367717333E0,2.417635282E-1,7.595872545E-2,2.426407385E-1,3.508473451E-1
1.377687333E0,8.169848481E-2,1.402294424E-1,-2.733748734E-2,1.645790909E-1
1.387657333E0,7.934255026E-2,1.150318167E-2,-1.729366654E-1,1.906165096E-1
1.397627333E0,2.740809247E-3,7.818185968E-2,-1.568427891E-1,1.752700080E-1
1.407597333E0,-7.458759449E-2,1.848289884E-1,1.159820952E0,1.176821867E0
1.417567333E0,1.354135842E-1,-1.796318370E-1,-5.523046017E-2,2.316351428E-1
1.427537333E0,-7.197337747E-2,-5.019872279E-1,-5.062028146E-1,7.165281806E-1
1.437507333E0,-2.802246307E-1,-9.962095910E-2,1.629484516E-1,3.391200039E-1
1.447477333E0,-6.206271239E-3,1.204861543E-1,4.257182300E-1,4.424832681E-1
1.457447333E0,1.628157564E-1,2.432718906E-1,4.389037013E-1,5.275667183E-1
1.467416333E0,-1.396599967E-1,-1.995294368E-1,-5.839748758E-1,6.327270868E-1
1.477386333E0,-6.069905033E-2,-3.286919089E-1,-4.569277436E-1,5.661322359E-1
1.487356333E0,-1.050937976E-1,-2.355225574E-2,1.034238548E0,1.039831135E0
1.497326333E0,1.530687768E-1,-4.146351616E-1,-6.084934205E-1,7.520748703E-1
1.507296333E0,7.641108524E-2,-2.775404664E-1,-4.333722353E-1,5.202680643E-1
1.517266333E0,2.496252010E-1,-1.615307759E-1,-3.074968851E-1,4.277373807E-1
1.527236333E0,3.914467489E-1,-4.101272873E-1,-1.505494308E-1,5.866004433E-1
1.537206333E0,-2.096449371E-1,1.388682837E-1,1.463428854E0,1.484876901E0
1.547176333E0,-1.561388939E-1,-5.209914828E-3,-5.251787835E-1,5.479226698E-1
1.557146333E0,1.705473835E-1,-2.137488054E-1,-1.034667149E0,1.070192072E0
1.567115333E0,-5.578241540E-1,7.845779344E-1,2.265465113E0,2.461516301E0
1.577085333E0,-4.376928160E-1,5.002461098E-2,5.451633972E-1,7.009141121E-1
1.587055333E0,1.031865821E-1,-3.754718634E-1,-1.694525435E0,1.738690036E0
1.597025333E0,-3.856675437E-2,-3.836888459E-1,-4.284681755E-1,5.764455763E-1
1.606995333E0,2.740575906E-1,-4.352516400E-1,-1.129904258E-1,5.266102824E-1
1.616965583E0,1.389388340E-1,4.122250490E-3,-4.514494872E-1,4.723638767E-1
1.626935583E0,1.517739474E-1,1.530600243E-1,1.473954427E-1,2.611285482E-1
1.636905583E0,1.871318412E-1,5.036026674E-1,2.061026573E-1,5.754235640E-1
1.646875583E0,-4.002006155E-2,7.998986444E-2,-2.097840643E-1,2.280555576E-1
1.656845583E0,-9.172435831E-2,-3.225484221E-1,-5.017472363E-1,6.034907883E-1
1.666815583E0,2.255184831E-1,-2.852468042E-1,8.244574070E-2,3.728560388E-1
1.676784583E0,1.865217208E-1,-1.503068902E-1,6.565832609E-1,6.989163699E-1
